run_id,label,total_events,duration_sec,events_per_sec,inter_event_mean,inter_event_std,burst_max_per_sec,burstiness,distinct_dest_ports,distinct_src_ports,ports_per_event,frac_on_top_port,distinct_protocols,n_login_fail,n_login_success,n_commands,n_command_failed,n_sessions,n_file_downloads,distinct_commands,n_auth_other,n_http_events,n_web_80,n_web_8080,distinct_web_paths,n_suricata_alerts,n_suricata_flows,n_alert_sev_high,n_alert_sev_info,distinct_signatures,any_login_attempt,any_login_success,any_command_run,any_file_download,any_web_request
P028,post_exploitation,18,0.0,18.0,0.0,0.0,18,1.0,1,1,0.05556,1.0,2,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0
P029,post_exploitation,22,0.0,22.0,0.0,0.0,22,1.0,1,1,0.04545,1.0,2,0,1,6,0,1,0,6,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
P030,post_exploitation,28,1.0,28.0,0.037,0.1889,17,1.214,1,1,0.03571,1.0,2,0,1,11,1,1,0,11,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
S001,scan,5,0.0,5.0,0.0,0.0,5,1.0,5,1,1.0,0.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
S002,scan,51,0.0,51.0,0.0,0.0,51,1.0,50,1,0.98039,0.0392,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0
S003,scan,101,0.0,101.0,0.0,0.0,101,1.0,100,1,0.9901,0.0198,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0
S004,scan,201,0.0,201.0,0.0,0.0,201,1.0,200,1,0.99502,0.01,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0
S005,scan,501,3.0,167.0,0.006,0.0772,213,1.701,500,1,0.998,0.004,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0
S006,scan,1596,7.0,228.0,0.0044,0.0661,773,3.875,1036,4,0.64912,0.0019,1,0,0,0,0,0,0,0,0,0,1,1,0,1,51,1,0,1,0,0,0,0,0
S007,scan,1661,9.0,184.5556,0.0054,0.0734,472,2.842,1000,4,0.60205,0.0024,1,0,0,0,0,0,0,0,0,0,1,2,0,1,379,1,0,1,0,0,0,0,0
S008,scan,641,6.0,106.8333,0.0094,0.0964,181,1.977,543,8,0.84711,0.0094,3,0,0,0,0,2,0,0,0,0,6,0,0,0,618,0,0,0,0,0,0,0,0
S009,scan,231,3.0,77.0,0.013,0.1135,142,2.459,95,51,0.41126,0.0262,3,0,0,0,0,2,0,0,0,0,4,4,0,0,53,0,0,0,0,0,0,0,0
S010,scan,351,2.0,175.5,0.0057,0.0754,281,2.402,100,100,0.2849,0.0172,2,0,0,0,0,2,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0
S011,scan,720,1.0,720.0,0.0014,0.0373,587,1.631,200,199,0.27778,0.0084,2,0,0,0,0,2,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0
S012,scan,1882,3.0,627.3333,0.0016,0.0399,1038,2.206,500,495,0.26567,0.0043,2,0,0,0,0,2,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0
S013,scan,2172,6.0,362.0,0.0028,0.0606,775,2.141,1010,980,0.46501,0.0028,3,0,0,0,0,2,0,0,0,0,4,0,0,0,21,0,0,0,0,0,0,0,0
S014,scan,4105,6.0,684.1667,0.0015,0.0382,1109,1.891,1000,1130,0.24361,0.0019,3,0,0,0,0,2,0,0,0,0,5,4,0,0,188,0,0,0,0,0,0,0,0
S015,scan,1058,17.0,62.2353,0.0161,0.1466,136,2.057,1000,968,0.94518,0.0153,4,1,0,0,0,3,0,0,0,1,13,0,1,1,1002,0,1,1,1,0,0,0,1
S016,scan,963,40.0,24.075,0.0416,0.2996,216,6.056,536,559,0.55659,0.0419,7,1,0,0,0,3,0,0,0,1,12,9,1,7,512,6,1,3,1,0,0,0,1
S017,scan,1001,50.0,20.02,0.05,0.2636,214,9.193,100,189,0.0999,0.0494,11,1,0,0,0,3,0,0,0,1,12,12,1,7,115,2,5,5,1,0,0,0,1
S018,scan,2051,82.0,25.0122,0.04,0.2345,329,11.87,200,346,0.09751,0.0264,12,1,0,0,0,3,0,0,0,1,13,12,1,7,339,1,6,4,1,0,0,0,1
S019,scan,4734,158.0,29.962,0.0334,0.1877,417,13.477,502,525,0.10604,0.0138,13,1,0,0,0,3,0,0,0,1,12,11,1,11,821,1,10,5,1,0,0,0,1
S020,scan,1349,26.0,51.8846,0.0193,0.1428,377,7.266,1042,96,0.77242,0.0127,6,1,0,0,0,3,0,0,0,1,10,0,1,2,70,1,1,2,1,0,0,0,1
S021,scan,9331,187.0,49.8984,0.02,0.1512,470,9.067,1857,834,0.19901,0.0064,13,1,0,0,0,3,0,0,0,1,14,12,1,10,2577,1,9,5,1,0,0,0,1
S022,scan,135802,905.0,150.0575,0.0067,0.0814,6713,44.786,56421,634,0.41547,0.0003,5,0,0,0,0,0,0,0,0,0,2,2,0,52,66665,4,48,3,0,0,0,0,0
S023,scan,1577,22.0,71.6818,0.014,0.1173,137,1.998,1523,11,0.96576,0.0133,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1553,1,0,1,0,0,0,0,0
S024,scan,9973,383.0,26.0392,0.0384,0.3142,372,11.265,332,741,0.03329,0.0992,17,10,1,0,0,42,0,0,3,31,338,312,8,326,1643,228,98,21,1,1,0,0,1
S025,scan,17011,621.0,27.3929,0.0365,0.388,410,11.617,108,882,0.00635,0.0563,15,10,1,0,0,43,0,0,3,32,344,316,8,409,2368,259,150,20,1,1,0,0,1
S026,scan,135,3.0,45.0,0.0224,0.1919,106,2.356,100,16,0.74074,0.194,4,0,0,0,0,0,0,0,0,0,1,1,0,23,4,10,13,6,0,0,0,0,0
S027,scan,539,7.0,77.0,0.013,0.1549,364,4.052,500,17,0.92764,0.0502,3,0,0,0,0,0,0,0,0,0,1,1,0,23,7,10,13,6,0,0,0,0,0
S028,scan,6132,175.0,35.04,0.0285,0.1797,262,7.093,501,651,0.0817,0.0215,14,8,1,0,0,15,0,0,0,1,14,14,1,61,1295,1,60,6,1,1,0,0,1
